Hash,Shader Type,Function,Call Location,"Live""""Registers",###ERROR###,Total Samples,"Execution""""Region",Avg. Warp Latency,Top Stall #1 (Type),Top Stall #1 (% Samples),Top Stall #2 (Type),Top Stall #2 (% Samples),Top Stall #3 (Type),Top Stall #3 (% Samples),Total Instruction Mix,Total SB Producer Samples,"Instructions""""Executed","Thread Instructions""""Executed","Thread Instructions""""Executed Pred On","Active Threads""""Per Warp"
Multiple shaders...,N/A,solve_mono,textcoverage.glsl:32,34,0.00028409987689005336,0.00028409987689005336,--,309.2356507868175,SELECT,0.4777777777777778,WAIT,NOTSEL,52,8,0,0,0,0
0x014cd6965431b8bd,N/A,sphereAabb,lightcull.comp:71,17,0.00014204993844502668,0.00014204993844502668,--,449.35528350998067,SELECT,0.7333333333333333,WAIT,DISPCH,13,,0,0,0,0
Multiple shaders...,N/A,shade_window,textcoverage.glsl:138,24,0.00013573660784746994,0.00013573660784746994,--,155.27275434710776,WAIT,0.37209302325581395,LGSB,SELECT,32,17,0,0,0,0
0x8ee09876f1d0e45a,Vertex,main,textworld.vert:36,18,0.00011363995075602134,0.00011363995075602134,--,0,LGSB,0.6944444444444444,IMCMIS,SELECT,83,25,0,0,0,0
0x8b0de88c92f383e9,N/A,isVisibleInShadow,cull.comp:199,25,0.00011363995075602134,0.00011363995075602134,--,0,LGSB,0.6111111111111112,WAIT,BRANCH,24,22,0,0,0,0
0x772c480afb13195b,Compute,main,tpsort.comp:46,15,9.469995896335112e-05,9.469995896335112e-05,--,14504,WAIT,0.36666666666666664,SELECT,IMCMIS,26,6,0,0,0,0
0x8b0de88c92f383e9,Compute,main,cull.comp:299,29,5.36633100792323e-05,5.36633100792323e-05,--,0,LGSB,0.35294117647058826,WAIT,IMCMIS,41,15,0,0,0,0
0x8b0de88c92f383e9,N/A,emitDraw,cull.comp:214,26,3.472331828656208e-05,3.472331828656208e-05,--,0,LGSB,0.36363636363636365,SHRTSB,WAIT,21,4,0,0,0,0
0xd55337ab7d608843,Vertex,main,shadowblur.vert:18,8,2.8409987689005336e-05,2.8409987689005336e-05,--,0,NOINST,0.5555555555555556,WAIT,MISC,9,0,0,0,0,0
0xc6c03386bd2f9988,Compute,main,shadowsetup.comp:111,42,2.5253322390226965e-05,2.5253322390226965e-05,--,0,NOINST,0.5,LGSB,IMCMIS,86,2,0,0,0,0
0xeeb2459f3e852791,Compute,main,update.comp:77,36,1.8939991792670224e-05,1.8939991792670224e-05,--,0,MISC,0.3333333333333333,IMCMIS,LGSB,128,1,0,0,0,0
0x84576806c57acf37,Compute,main,lightsetup.comp:55,30,1.2626661195113483e-05,1.2626661195113483e-05,--,0,MISC,0.25,IMCMIS,LGSB,33,1,0,0,0,0
