#,Source,Total Samples,Samples,Top Stall #1 (Type),Top Stall #1 (Samples),Top Stall #2 (Type),Top Stall #2 (Samples),Top Stall #3 (Type),Top Stall #3 (Samples),Avg. Warp Latency,Instruction Mix,Dependency-Attributed Samples,Live Registers
,textcoverage.glsl,,,,,,,,,
75,tb = tmp;,,,,,,,,,0,,,
76,},,,,,,,,,0,,,
77,,,,,,,,,,0,,,
78,"float ax = x0 - 2.0 * x1 + x2, bx = 2.0 * (x1 - x0);",,,,,,,,,0,,,
79,"float ay = y0 - 2.0 * y1 + y2, by = 2.0 * (y1 - y0);",,,,,,,,,0,,,
80,"float xs = clamp((ax * t0 + bx) * t0 + x0, 0.0, w);",7,7,Selected,5,Wait,2,,,0,4,,34
81,"float ys = clamp((ay * t0 + by) * t0 + y0, 0.0, h);",7,7,Selected,4,Wait,2,Math Pipe Throttle,1,0,4,,34
82,float area = 0.0;,,,,,,,,,0,,,
83,"float ends[3] = float[3](ta, tb, t1);",,,,,,,,,0,,,
84,for (int k = 0; k < 3; k++),,,,,,,,,0,,,
85,{,,,,,,,,,0,,,
86,float te = ends[k];,,,,,,,,,0,,,
87,"float xe = clamp((ax * te + bx) * te + x0, 0.0, w);",72,72,Not Selected,28,Selected,17,Math Pipe Throttle,13,8,12,,33
88,"float ye = clamp((ay * te + by) * te + y0, 0.0, h);",27,27,Selected,19,Wait,3,Not Selected,2,5,12,,33
89,area += (ye - ys) * (2.0 * w - xs - xe) * 0.5;,44,44,Selected,22,Wait,13,Not Selected,8,8,13,,29
90,xs = xe;,,,,,,,,,0,,,
91,ys = ye;,,,,,,,,,0,,,
92,},,,,,,,,,0,,,
93,return area;,,,,,,,,,0,,,
94,},,,,,,,,,0,,,
95,,,,,,,,,,0,,,
96,"// Unclamped coverage sum for one em-space window at wpos, size wdim: one stream walk",,,,,,,,,0,,,
97,"// (grammar in anoptic_text.h), normalized by window area. Mirrors ano_text_window_sum().",,,,,,,,,0,,,
98,"float window_sum(GlyphEntry g, vec2 wpos, vec2 wdim)",,,,,,,,,0,,,
99,{,,,,,,,,,0,,,
100,uint i = g.pointOffset;,,,,,,,,,0,,,
101,vec2 p0 = unpackHalf2x16(points[i]) - wpos;,1363,1363,Wait,1044,Selected,269,Long Scoreboard,36,206.0997798972854,8,36,22
102,i++;,,,,,,,,,0,,,
103,float area = 0.0;,,,,,,,,,0,,,
104,for (uint c = 0u; c < g.curveCount; c++),238,238,Selected,79,Branch Resolving,48,No Instructions,41,41,9,,25
105,{,,,,,,,,,0,,,
106,if (points[i] == SENTINEL) // contour restart,1522,1522,Long Scoreboard,588,Wait,335,Not Selected,300,209.66272189349112,6,588,25
107,{,,,,,,,,,0,,,
108,i++;,,,,,,,,,0,,,
109,p0 = unpackHalf2x16(points[i]) - wpos;,431,431,Wait,173,Selected,126,Not Selected,102,71.94431554524363,7,13,26
110,i++;,516,516,Wait,216,Not Selected,155,Math Pipe Throttle,125,72.20930232558139,1,,24
111,},,,,,,,,,0,,,
112,vec2 p1 = unpackHalf2x16(points[i]) - wpos;,585,585,Wait,229,Not Selected,174,Math Pipe Throttle,100,71.7897435897436,7,0,26
113,i++;,62,62,Wait,28,Selected,20,Not Selected,11,8,1,,25
114,vec2 p2 = unpackHalf2x16(points[i]) - wpos;,813,813,Wait,298,Not Selected,199,Selected,132,120.4059040590406,7,102,26
