#,Source,Total Samples,Samples,Top Stall #1 (Type),Top Stall #1 (Samples),Top Stall #2 (Type),Top Stall #2 (Samples),Top Stall #3 (Type),Top Stall #3 (Samples),Avg. Warp Latency,Instruction Mix,Dependency-Attributed Samples,Live Registers
,textcoverage.glsl,,,,,,,,,
183,,,,,,,,,0,,,
184,layout(location = 0) in vec2 panelPos;,,,,,,,,0,,,
185,layout(location = 0) out vec4 outColor;,,,,,,,,0,,,
186,,,,,,,,,0,,,
187,void main(),,,,,,,,0,,,
188,{,,,,,,,,0,,,
189,vec2 fw = abs(dFdx(panelPos)) + abs(dFdy(panelPos));,,,,,,,,0,,,
190,vec2 rMin = panelPos - 0.5 * fw;,,,,,,,,0,,,
191,vec2 rMax = panelPos + 0.5 * fw;,,,,,,,,0,,,
192,vec4 acc = vec4(0.0);,,,,,,,,0,,,
193,for (uint i = 0u; i < pc.range.y; i++),,,,,,,,0,,,
194,{,,,,,,,,0,,,
195,"vec4 src = shade_window(pc.range.x + i, rMin, rMax);",,,,,,,,0,,,
196,acc = src + acc * (1.0 - src.a);,,,,,,,,0,,,
197,},,,,,,,,0,,,
198,outColor = acc;,,,,,,,,0,,,
199,},,,,,,,,0,,,
200,"""",,,,,,,,0,,,
201,"%42 = OpString ""c0""",,,,,,,,0,,,
202,"%48 = OpString ""c1""",,,,,,,,0,,,
203,"%51 = OpString ""c2""",,,,,,,,0,,,
204,"%54 = OpString ""target""",,,,,,,,0,,,
205,"%68 = OpString ""curve_area""",,,,,,,,0,,,
206,"%72 = OpString ""x0""",,,,,,,,0,,,
207,"%77 = OpString ""y0""",,,,,,,,0,,,
208,"%80 = OpString ""x1""",,,,,,,,0,,,
209,"%83 = OpString ""y1""",,,,,,,,0,,,
210,"%86 = OpString ""x2""",,,,,,,,0,,,
211,"%90 = OpString ""y2""",,,,,,,,0,,,
212,"%93 = OpString ""w""",,,,,,,,0,,,
213,"%96 = OpString ""h""",,,,,,,,0,,,
214,"%103 = OpString ""flags""",,,,,,,,0,,,
215,"%108 = OpString ""bboxMax""",,,,,,,,0,,,
216,"%112 = OpString ""advance""",,,,,,,,0,,,
217,"%115 = OpString ""GlyphEntry""",,,,,,,,0,,,
218,"%128 = OpString ""window_sum""",,,,,,,,0,,,
219,"%131 = OpString ""g""",,,,,,,,0,,,
220,"%136 = OpString ""wpos""",,,,,,,,0,,,
221,"%139 = OpString ""wdim""",,,,,,,,0,,,
222,"%154 = OpString ""em_box""",,,,,,,,0,,,
223,"%158 = OpString ""inv""",,,,,,,,0,,,
224,"%163 = OpString ""rMin""",,,,,,,,0,,,
225,"%166 = OpString ""rMax""",,,,,,,,0,,,
226,"%169 = OpString ""lo""",,,,,,,,0,,,
227,"%172 = OpString ""hi""",,,,,,,,0,,,
228,"%183 = OpString ""shade_window""",,,,,,,,0,,,
229,"%187 = OpString ""idx""",,,,,,,,0,,,
230,"%195 = OpString ""main""",,,,,,,,0,,,
231,"%201 = OpString ""span""",,,,,,,,0,,,
232,"%210 = OpString ""a""",,,,,,,,0,,,
233,"%223 = OpString ""b""",,,,,,,,0,,,
234,"%233 = OpString ""c""",,,,,,,,0,,,
235,"%242 = OpString ""d""",,,,,,,,0,,,
236,"%259 = OpString ""den""",,,,,,,,0,,,
237,"%267 = OpString ""bool""",,,,,,,,0,,,
238,"%397 = OpString ""t0""",,,,,,,,0,,,
239,"%412 = OpString ""t1""",,,,,,,,0,,,
240,"%436 = OpString ""tmp""",,,,,,,,0,,,
241,"%449 = OpString ""ta""",,,,,,,,0,,,
242,"%467 = OpString ""tb""",,,,,,,,0,,,
243,"%506 = OpString ""ax""",,,,,,,,0,,,
244,"%519 = OpString ""bx""",,,,,,,,0,,,
245,"%527 = OpString ""ay""",,,,,,,,0,,,
246,"%539 = OpString ""by""",,,,,,,,0,,,
247,"%547 = OpString ""xs""",,,,,,,,0,,,
248,"%564 = OpString ""ys""",,,,,,,,0,,,
249,"%581 = OpString ""area""",,,,,,,,0,,,
250,"%591 = OpString ""ends""",,,,,,,,0,,,
251,"%600 = OpString ""int""",,,,,,,,0,,,
252,"%606 = OpString ""k""",,,,,,,,0,,,
253,"%625 = OpString ""te""",,,,,,,,0,,,
254,"%635 = OpString ""xe""",,,,,,,,0,,,
255,"%652 = OpString ""ye""",,,,,,,,0,,,
256,"%706 = OpString ""i""",,,,,,,,0,,,
257,"%714 = OpString ""p0""",,,,,,,,0,,,
258,"%722 = OpString ""points""",,,,,,,,0,,,
259,"%725 = OpString ""CurvePoints""",,,,,,,,0,,,
260,"%730 = OpString """"",,,,,,,,0,,,
261,"%797 = OpString ""p1""",,,,,,,,0,,,
262,"%814 = OpString ""p2""",,,,,,,,0,,,
263,"%882 = OpString ""c10""",,,,,,,,0,,,
264,"%893 = OpString ""c01""",,,,,,,,0,,,
265,"%904 = OpString ""e00""",,,,,,,,0,,,
266,"%919 = OpString ""e11""",,,,,,,,0,,,
267,"%934 = OpString ""e10""",,,,,,,,0,,,
268,"%949 = OpString ""e01""",,,,,,,,0,,,
269,"%985 = OpString ""color""",,,,,,,,0,,,
270,"%989 = OpString ""origin""",,,,,,,,0,,,
271,"%994 = OpString ""GlyphInstance""",,,,,,,,0,,,
272,"%1000 = OpString ""gi""",,,,,,,,0,,,
273,"%1014 = OpString ""instances""",,,,,,,,0,,,
274,"%1017 = OpString ""FrameData""",,,,,,,,0,,,
275,"%1045 = OpString ""glyphs""",,,,,,,,0,,,
276,"%1048 = OpString ""GlyphDirectory""",,,,,,,,0,,,
277,"%1154 = OpString ""cov""",,,,,,,,0,,,
278,"%1185 = OpString ""fw""",,,,,,,,0,,,
279,"%1192 = OpString ""panelPos""",,,,,,,,0,,,
280,"%1220 = OpString ""acc""",,,,,,,,0,,,
281,"%1244 = OpString ""mvp""",,,,,,,,0,,,
282,"%1246 = OpString ""panel""",,,,,,,,0,,,
283,"%1248 = OpString ""range""",,,,,,,,0,,,
284,"%1251 = OpString ""TextWorldPush""",,,,,,,,0,,,
285,"%1257 = OpString ""pc""",,,,,,,,0,,,
286,"%1265 = OpString ""src""",,,,,,,,0,,,
287,"%1297 = OpString ""outColor""",,,,,,,,0,,,
288,"OpSourceExtension ""GL_GOOGLE_cpp_style_line_directive""",,,,,,,,0,,,
289,"OpSourceExtension ""GL_GOOGLE_include_directive""",,,,,,,,0,,,
290,"OpName %main ""main""",,,,,,,,0,,,
291,"OpName %solve_mono_f1_f1_f1_f1_ ""solve_mono(f1;f1;f1;f1;""",,,,,,,,0,,,
292,"OpName %c0 ""c0""",,,,,,,,0,,,
293,"OpName %c1 ""c1""",,,,,,,,0,,,
294,"OpName %c2 ""c2""",,,,,,,,0,,,
295,"OpName %target ""target""",,,,,,,,0,,,
296,"OpName %curve_area_f1_f1_f1_f1_f1_f1_f1_f1_ ""curve_area(f1;f1;f1;f1;f1;f1;f1;f1;""",,,,,,,,0,,,
297,"OpName %x0 ""x0""",,,,,,,,0,,,
298,"OpName %y0 ""y0""",,,,,,,,0,,,
299,"OpName %x1 ""x1""",,,,,,,,0,,,
300,"OpName %y1 ""y1""",,,,,,,,0,,,
301,"OpName %x2 ""x2""",,,,,,,,0,,,
302,"OpName %y2 ""y2""",,,,,,,,0,,,
303,"OpName %w ""w""",,,,,,,,0,,,
304,"OpName %h ""h""",,,,,,,,0,,,
305,"OpName %GlyphEntry ""GlyphEntry""",,,,,,,,0,,,
306,"OpMemberName %GlyphEntry 0 ""pointOffset""",,,,,,,,0,,,
307,"OpMemberName %GlyphEntry 1 ""curveCount""",,,,,,,,0,,,
308,"OpMemberName %GlyphEntry 2 ""bboxMin""",,,,,,,,0,,,
309,"OpMemberName %GlyphEntry 3 ""bboxMax""",,,,,,,,0,,,
310,"OpMemberName %GlyphEntry 4 ""advance""",,,,,,,,0,,,
311,"OpMemberName %GlyphEntry 5 ""flags""",,,,,,,,0,,,
312,"OpName %window_sum_struct_GlyphEntry_u1_u1_vf2_vf2_f1_u11_vf2_vf2_ ""window_sum(struct-GlyphEntry-u1-u1-vf2-vf2-f1-u11;vf2;vf2;""",,,,,,,,0,,,
313,"OpName %g ""g""",,,,,,,,0,,,
314,"OpName %wpos ""wpos""",,,,,,,,0,,,
315,"OpName %wdim ""wdim""",,,,,,,,0,,,
316,"OpName %em_box_vf4_vf2_vf2_vf2_vf2_ ""em_box(vf4;vf2;vf2;vf2;vf2;""",,,,,,,,0,,,
317,"OpName %inv ""inv""",,,,,,,,0,,,
318,"OpName %rMin ""rMin""",,,,,,,,0,,,
319,"OpName %rMax ""rMax""",,,,,,,,0,,,
320,"OpName %lo ""lo""",,,,,,,,0,,,
321,"OpName %hi ""hi""",,,,,,,,0,,,
322,"OpName %shade_window_u1_vf2_vf2_ ""shade_window(u1;vf2;vf2;""",,,,,,,,0,,,
323,"OpName %idx ""idx""",,,,,,,,0,,,
324,"OpName %rMin_0 ""rMin""",,,,,,,,0,,,
325,"OpName %rMax_0 ""rMax""",,,,,,,,0,,,
326,"OpName %span ""span""",,,,,,,,0,,,
327,"OpName %a ""a""",,,,,,,,0,,,
328,"OpName %b ""b""",,,,,,,,0,,,
329,"OpName %c ""c""",,,,,,,,0,,,
330,"OpName %d ""d""",,,,,,,,0,,,
331,"OpName %den ""den""",,,,,,,,0,,,
332,"OpName %b_0 ""b""",,,,,,,,0,,,
333,"OpName %t0 ""t0""",,,,,,,,0,,,
334,"OpName %param ""param""",,,,,,,,0,,,
335,"OpName %param_0 ""param""",,,,,,,,0,,,
336,"OpName %param_1 ""param""",,,,,,,,0,,,
337,"OpName %param_2 ""param""",,,,,,,,0,,,
338,"OpName %t1 ""t1""",,,,,,,,0,,,
339,"OpName %param_3 ""param""",,,,,,,,0,,,
340,"OpName %param_4 ""param""",,,,,,,,0,,,
341,"OpName %param_5 ""param""",,,,,,,,0,,,
342,"OpName %param_6 ""param""",,,,,,,,0,,,
343,"OpName %tmp ""tmp""",,,,,,,,0,,,
344,"OpName %ta ""ta""",,,,,,,,0,,,
345,"OpName %param_7 ""param""",,,,,,,,0,,,
346,"OpName %param_8 ""param""",,,,,,,,0,,,
347,"OpName %param_9 ""param""",,,,,,,,0,,,
348,"OpName %param_10 ""param""",,,,,,,,0,,,
349,"OpName %tb ""tb""",,,,,,,,0,,,
350,"OpName %param_11 ""param""",,,,,,,,0,,,
351,"OpName %param_12 ""param""",,,,,,,,0,,,
352,"OpName %param_13 ""param""",,,,,,,,0,,,
353,"OpName %param_14 ""param""",,,,,,,,0,,,
354,"OpName %tmp_0 ""tmp""",,,,,,,,0,,,
355,"OpName %ax ""ax""",,,,,,,,0,,,
356,"OpName %bx ""bx""",,,,,,,,0,,,
357,"OpName %ay ""ay""",,,,,,,,0,,,
358,"OpName %by ""by""",,,,,,,,0,,,
359,"OpName %xs ""xs""",,,,,,,,0,,,
360,"OpName %ys ""ys""",,,,,,,,0,,,
361,"OpName %area ""area""",,,,,,,,0,,,
362,"OpName %ends ""ends""",,,,,,,,0,,,
363,"OpName %k ""k""",,,,,,,,0,,,
364,"OpName %te ""te""",,,,,,,,0,,,
365,"OpName %xe ""xe""",,,,,,,,0,,,
366,"OpName %ye ""ye""",,,,,,,,0,,,
367,"OpName %i ""i""",,,,,,,,0,,,
368,"OpName %p0 ""p0""",,,,,,,,0,,,
369,"OpName %CurvePoints ""CurvePoints""",,,,,,,,0,,,
370,"OpMemberName %CurvePoints 0 ""points""",,,,,,,,0,,,
371,"OpName %_ """"",,,,,,,,0,,,
372,"OpName %area_0 ""area""",,,,,,,,0,,,
373,"OpName %c_0 ""c""",,,,,,,,0,,,
374,"OpName %p1 ""p1""",,,,,,,,0,,,
375,"OpName %p2 ""p2""",,,,,,,,0,,,
376,"OpName %param_15 ""param""",,,,,,,,0,,,
377,"OpName %param_16 ""param""",,,,,,,,0,,,
378,"OpName %param_17 ""param""",,,,,,,,0,,,
379,"OpName %param_18 ""param""",,,,,,,,0,,,
380,"OpName %param_19 ""param""",,,,,,,,0,,,
381,"OpName %param_20 ""param""",,,,,,,,0,,,
382,"OpName %param_21 ""param""",,,,,,,,0,,,
383,"OpName %param_22 ""param""",,,,,,,,0,,,
384,"OpName %c10 ""c10""",,,,,,,,0,,,
385,"OpName %c01 ""c01""",,,,,,,,0,,,
386,"OpName %e00 ""e00""",,,,,,,,0,,,
387,"OpName %e11 ""e11""",,,,,,,,0,,,
388,"OpName %e10 ""e10""",,,,,,,,0,,,
389,"OpName %e01 ""e01""",,,,,,,,0,,,
390,"OpName %GlyphInstance ""GlyphInstance""",,,,,,,,0,,,
391,"OpMemberName %GlyphInstance 0 ""inv""",,,,,,,,0,,,
392,"OpMemberName %GlyphInstance 1 ""color""",,,,,,,,0,,,
393,"OpMemberName %GlyphInstance 2 ""origin""",,,,,,,,0,,,
394,"OpMemberName %GlyphInstance 3 ""glyphID""",,,,,,,,0,,,
395,"OpMemberName %GlyphInstance 4 ""flags""",,,,,,,,0,,,
396,"OpName %gi ""gi""",,,,,,,,0,,,
397,"OpName %GlyphInstance_0 ""GlyphInstance""",,,,,,,,0,,,
398,"OpMemberName %GlyphInstance_0 0 ""inv""",,,,,,,,0,,,
399,"OpMemberName %GlyphInstance_0 1 ""color""",,,,,,,,0,,,
400,"OpMemberName %GlyphInstance_0 2 ""origin""",,,,,,,,0,,,
401,"OpMemberName %GlyphInstance_0 3 ""glyphID""",,,,,,,,0,,,
402,"OpMemberName %GlyphInstance_0 4 ""flags""",,,,,,,,0,,,
403,"OpName %FrameData ""FrameData""",,,,,,,,0,,,
404,"OpMemberName %FrameData 0 ""instances""",,,,,,,,0,,,
405,"OpName %__0 """"",,,,,,,,0,,,
406,"OpName %g_0 ""g""",,,,,,,,0,,,
407,"OpName %GlyphEntry_0 ""GlyphEntry""",,,,,,,,0,,,
408,"OpMemberName %GlyphEntry_0 0 ""pointOffset""",,,,,,,,0,,,
409,"OpMemberName %GlyphEntry_0 1 ""curveCount""",,,,,,,,0,,,
410,"OpMemberName %GlyphEntry_0 2 ""bboxMin""",,,,,,,,0,,,
411,"OpMemberName %GlyphEntry_0 3 ""bboxMax""",,,,,,,,0,,,
412,"OpMemberName %GlyphEntry_0 4 ""advance""",,,,,,,,0,,,
413,"OpMemberName %GlyphEntry_0 5 ""flags""",,,,,,,,0,,,
414,"OpName %GlyphDirectory ""GlyphDirectory""",,,,,,,,0,,,
415,"OpMemberName %GlyphDirectory 0 ""glyphs""",,,,,,,,0,,,
416,"OpName %__1 """"",,,,,,,,0,,,
417,"OpName %lo_0 ""lo""",,,,,,,,0,,,
418,"OpName %hi_0 ""hi""",,,,,,,,0,,,
419,"OpName %param_23 ""param""",,,,,,,,0,,,
420,"OpName %param_24 ""param""",,,,,,,,0,,,
421,"OpName %param_25 ""param""",,,,,,,,0,,,
422,"OpName %param_26 ""param""",,,,,,,,0,,,
423,"OpName %param_27 ""param""",,,,,,,,0,,,
424,"OpName %cov ""cov""",,,,,,,,0,,,
425,"OpName %param_28 ""param""",,,,,,,,0,,,
426,"OpName %param_29 ""param""",,,,,,,,0,,,
427,"OpName %param_30 ""param""",,,,,,,,0,,,
428,"OpName %fw ""fw""",,,,,,,,0,,,
429,"OpName %panelPos ""panelPos""",,,,,,,,0,,,
430,"OpName %rMin_1 ""rMin""",,,,,,,,0,,,
431,"OpName %rMax_1 ""rMax""",,,,,,,,0,,,
432,"OpName %acc ""acc""",,,,,,,,0,,,
433,"OpName %i_0 ""i""",,,,,,,,0,,,
434,"OpName %TextWorldPush ""TextWorldPush""",,,,,,,,0,,,
435,"OpMemberName %TextWorldPush 0 ""mvp""",,,,,,,,0,,,
436,"OpMemberName %TextWorldPush 1 ""panel""",,,,,,,,0,,,
437,"OpMemberName %TextWorldPush 2 ""range""",,,,,,,,0,,,
438,"OpName %pc ""pc""",,,,,,,,0,,,
439,"OpName %src ""src""",,,,,,,,0,,,
440,"OpName %param_31 ""param""",,,,,,,,0,,,
441,"OpName %param_32 ""param""",,,,,,,,0,,,
442,"OpName %param_33 ""param""",,,,,,,,0,,,
443,"OpName %outColor ""outColor""",,,,,,,,0,,,
444,"OpModuleProcessed ""client vulkan100""",,,,,,,,0,,,
445,"OpModuleProcessed ""target-env spirv1.5""",,,,,,,,0,,,
446,"OpModuleProcessed ""target-env vulkan1.2""",,,,,,,,0,,,
447,"OpModuleProcessed ""entry-point main""",,,,,,,,0,,,
448,OpDecorate %_runtimearr_uint ArrayStride 4,,,,,,,,0,,,
449,OpDecorate %CurvePoints Block,,,,,,,,0,,,
450,OpMemberDecorate %CurvePoints 0 NonWritable,,,,,,,,0,,,
451,OpMemberDecorate %CurvePoints 0 Offset 0,,,,,,,,0,,,
452,OpDecorate %_ NonWritable,,,,,,,,0,,,
453,OpDecorate %_ Binding 0,,,,,,,,0,,,
454,OpDecorate %_ DescriptorSet 0,,,,,,,,0,,,
455,OpMemberDecorate %GlyphInstance_0 0 Offset 0,,,,,,,,0,,,
456,OpMemberDecorate %GlyphInstance_0 1 Offset 16,,,,,,,,0,,,
457,OpMemberDecorate %GlyphInstance_0 2 Offset 32,,,,,,,,0,,,
458,OpMemberDecorate %GlyphInstance_0 3 Offset 40,,,,,,,,0,,,
459,OpMemberDecorate %GlyphInstance_0 4 Offset 44,,,,,,,,0,,,
460,OpDecorate %_runtimearr_GlyphInstance_0 ArrayStride 48,,,,,,,,0,,,
461,OpDecorate %FrameData Block,,,,,,,,0,,,
462,OpMemberDecorate %FrameData 0 NonWritable,,,,,,,,0,,,
463,OpMemberDecorate %FrameData 0 Offset 0,,,,,,,,0,,,
464,OpDecorate %__0 NonWritable,,,,,,,,0,,,
465,OpDecorate %__0 Binding 2,,,,,,,,0,,,
466,OpDecorate %__0 DescriptorSet 0,,,,,,,,0,,,
467,OpMemberDecorate %GlyphEntry_0 0 Offset 0,,,,,,,,0,,,
468,OpMemberDecorate %GlyphEntry_0 1 Offset 4,,,,,,,,0,,,
469,OpMemberDecorate %GlyphEntry_0 2 Offset 8,,,,,,,,0,,,
470,OpMemberDecorate %GlyphEntry_0 3 Offset 16,,,,,,,,0,,,
471,OpMemberDecorate %GlyphEntry_0 4 Offset 24,,,,,,,,0,,,
472,OpMemberDecorate %GlyphEntry_0 5 Offset 28,,,,,,,,0,,,
473,OpDecorate %_runtimearr_GlyphEntry_0 ArrayStride 32,,,,,,,,0,,,
474,OpDecorate %GlyphDirectory Block,,,,,,,,0,,,
475,OpMemberDecorate %GlyphDirectory 0 NonWritable,,,,,,,,0,,,
476,OpMemberDecorate %GlyphDirectory 0 Offset 0,,,,,,,,0,,,
477,OpDecorate %__1 NonWritable,,,,,,,,0,,,
478,OpDecorate %__1 Binding 1,,,,,,,,0,,,
479,OpDecorate %__1 DescriptorSet 0,,,,,,,,0,,,
480,OpDecorate %panelPos Location 0,,,,,,,,0,,,
481,OpDecorate %TextWorldPush Block,,,,,,,,0,,,
482,OpMemberDecorate %TextWorldPush 0 ColMajor,,,,,,,,0,,,
483,OpMemberDecorate %TextWorldPush 0 MatrixStride 16,,,,,,,,0,,,
484,OpMemberDecorate %TextWorldPush 0 Offset 0,,,,,,,,0,,,
485,OpMemberDecorate %TextWorldPush 1 Offset 64,,,,,,,,0,,,
486,OpMemberDecorate %TextWorldPush 2 Offset 80,,,,,,,,0,,,
487,OpDecorate %outColor Location 0,,,,,,,,0,,,
488,%void = OpTypeVoid,,,,,,,,0,,,
489,%6 = OpTypeFunction %void,,,,,,,,0,,,
490,%uint = OpTypeInt 32 0,,,,,,,,0,,,
491,%uint_32 = OpConstant %uint 32,,,,,,,,0,,,
492,%uint_6 = OpConstant %uint 6,,,,,,,,0,,,
493,%uint_0 = OpConstant %uint 0,,,,,,,,0,,,
494,%10 = OpExtInst %void %1 DebugTypeBasic %9 %uint_32 %uint_6 %uint_0,,,,,,,,0,,,
495,%uint_3 = OpConstant %uint 3,,,,,,,,0,,,
496,%7 = OpExtInst %void %1 DebugTypeFunction %uint_3 %void,,,,,,,,0,,,
497,%float = OpTypeFloat 32,,,,,,,,0,,,
498,%19 = OpExtInst %void %1 DebugTypeBasic %18 %uint_32 %uint_3 %uint_0,,,,,,,,0,,,
499,%_ptr_Function_float = OpTypePointer Function %float,,,,,,,,0,,,
500,%uint_7 = OpConstant %uint 7,,,,,,,,0,,,
501,%22 = OpExtInst %void %1 DebugTypePointer %19 %uint_7 %uint_0,,,,,,,,0,,,
502,%23 = OpTypeFunction %float %_ptr_Function_float %_ptr_Function_float %_ptr_Function_float %_ptr_Function_float,,,,,,,,0,,,
503,%24 = OpExtInst %void %1 DebugTypeFunction %uint_3 %19 %19 %19 %19 %19,,,,,,,,0,,,
504,%33 = OpExtInst %void %1 DebugSource %3 %34,,,,,,,,0,,,
505,%uint_1 = OpConstant %uint 1,,,,,,,,0,,,
506,%uint_4 = OpConstant %uint 4,,,,,,,,0,,,
507,%38 = OpExtInst %void %1 DebugSource %2 %39,,,,,,,,0,,,
508,%uint_2 = OpConstant %uint 2,,,,,,,,0,,,
509,%35 = OpExtInst %void %1 DebugCompilationUnit %uint_1 %uint_4 %38 %uint_2,,,,,,,,0,,,
510,%32 = OpExtInst %void %1 DebugFunction %31 %24 %33 %uint_32 %uint_0 %35 %31 %uint_3 %uint_32,,,,,,,,0,,,
511,%41 = OpExtInst %void %1 DebugLocalVariable %42 %19 %33 %uint_32 %uint_0 %32 %uint_4 %uint_1,,,,,,,,0,,,
512,%44 = OpExtInst %void %1 DebugExpression,,,,,,,,0,,,
513,%47 = OpExtInst %void %1 DebugLocalVariable %48 %19 %33 %uint_32 %uint_0 %32 %uint_4 %uint_2,,,,,,,,0,,,
514,%50 = OpExtInst %void %1 DebugLocalVariable %51 %19 %33 %uint_32 %uint_0 %32 %uint_4 %uint_3,,,,,,,,0,,,
515,%53 = OpExtInst %void %1 DebugLocalVariable %54 %19 %33 %uint_32 %uint_0 %32 %uint_4 %uint_4,,,,,,,,0,,,
516,%56 = OpTypeFunction %float %_ptr_Function_float %_ptr_Function_float %_ptr_Function_float %_ptr_Function_float %_ptr_Function_float %_ptr_Function_float %_ptr_Function_float %_ptr_Function_float,,,,,,,,0,,,
517,%57 = OpExtInst %void %1 DebugTypeFunction %uint_3 %19 %19 %19 %19 %19 %19 %19 %19 %19,,,,,,,,0,,,
518,%uint_48 = OpConstant %uint 48,,,,,,,,0,,,
519,%69 = OpExtInst %void %1 DebugFunction %68 %57 %33 %uint_48 %uint_0 %35 %68 %uint_3 %uint_48,,,,,,,,0,,,
520,%71 = OpExtInst %void %1 DebugLocalVariable %72 %19 %33 %uint_48 %uint_0 %69 %uint_4 %uint_1,,,,,,,,0,,,
521,%76 = OpExtInst %void %1 DebugLocalVariable %77 %19 %33 %uint_48 %uint_0 %69 %uint_4 %uint_2,,,,,,,,0,,,
522,%79 = OpExtInst %void %1 DebugLocalVariable %80 %19 %33 %uint_48 %uint_0 %69 %uint_4 %uint_3,,,,,,,,0,,,
523,%82 = OpExtInst %void %1 DebugLocalVariable %83 %19 %33 %uint_48 %uint_0 %69 %uint_4 %uint_4,,,,,,,,0,,,
524,%uint_5 = OpConstant %uint 5,,,,,,,,0,,,
525,%85 = OpExtInst %void %1 DebugLocalVariable %86 %19 %33 %uint_48 %uint_0 %69 %uint_4 %uint_5,,,,,,,,0,,,
526,%89 = OpExtInst %void %1 DebugLocalVariable %90 %19 %33 %uint_48 %uint_0 %69 %uint_4 %uint_6,,,,,,,,0,,,
527,%92 = OpExtInst %void %1 DebugLocalVariable %93 %19 %33 %uint_48 %uint_0 %69 %uint_4 %uint_7,,,,,,,,0,,,
528,%uint_8 = OpConstant %uint 8,,,,,,,,0,,,
529,%95 = OpExtInst %void %1 DebugLocalVariable %96 %19 %33 %uint_48 %uint_0 %69 %uint_4 %uint_8,,,,,,,,0,,,
530,%v2float = OpTypeVector %float 2,,,,,,,,0,,,
531,%100 = OpExtInst %void %1 DebugTypeVector %19 %uint_2,,,,,,,,0,,,
532,%GlyphEntry = OpTypeStruct %uint %uint %v2float %v2float %float %uint,,,,,,,,0,,,
533,%uint_12 = OpConstant %uint 12,,,,,,,,0,,,
534,%uint_11 = OpConstant %uint 11,,,,,,,,0,,,
535,%102 = OpExtInst %void %1 DebugTypeMember %103 %10 %33 %uint_12 %uint_11 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
536,%106 = OpExtInst %void %1 DebugTypeMember %103 %10 %33 %uint_12 %uint_11 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
537,%uint_10 = OpConstant %uint 10,,,,,,,,0,,,
538,%107 = OpExtInst %void %1 DebugTypeMember %108 %100 %33 %uint_10 %uint_11 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
539,%110 = OpExtInst %void %1 DebugTypeMember %108 %100 %33 %uint_10 %uint_11 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
540,%111 = OpExtInst %void %1 DebugTypeMember %112 %19 %33 %uint_11 %uint_11 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
541,%113 = OpExtInst %void %1 DebugTypeMember %103 %10 %33 %uint_12 %uint_11 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
542,%uint_98 = OpConstant %uint 98,,,,,,,,0,,,
543,%114 = OpExtInst %void %1 DebugTypeComposite %115 %uint_1 %33 %uint_98 %uint_0 %35 %115 %uint_0 %uint_3 %102 %106 %107 %110 %111 %113,,,,,,,,0,,,
544,%_ptr_Function_GlyphEntry = OpTypePointer Function %GlyphEntry,,,,,,,,0,,,
545,%118 = OpExtInst %void %1 DebugTypePointer %114 %uint_7 %uint_0,,,,,,,,0,,,
546,%_ptr_Function_v2float = OpTypePointer Function %v2float,,,,,,,,0,,,
547,%120 = OpExtInst %void %1 DebugTypePointer %100 %uint_7 %uint_0,,,,,,,,0,,,
548,%121 = OpTypeFunction %float %_ptr_Function_GlyphEntry %_ptr_Function_v2float %_ptr_Function_v2float,,,,,,,,0,,,
549,%122 = OpExtInst %void %1 DebugTypeFunction %uint_3 %19 %114 %100 %100,,,,,,,,0,,,
550,%129 = OpExtInst %void %1 DebugFunction %128 %122 %33 %uint_98 %uint_0 %35 %128 %uint_3 %uint_98,,,,,,,,0,,,
551,%130 = OpExtInst %void %1 DebugLocalVariable %131 %114 %33 %uint_98 %uint_0 %129 %uint_4 %uint_1,,,,,,,,0,,,
552,%135 = OpExtInst %void %1 DebugLocalVariable %136 %100 %33 %uint_98 %uint_0 %129 %uint_4 %uint_2,,,,,,,,0,,,
553,%138 = OpExtInst %void %1 DebugLocalVariable %139 %100 %33 %uint_98 %uint_0 %129 %uint_4 %uint_3,,,,,,,,0,,,
554,%v4float = OpTypeVector %float 4,,,,,,,,0,,,
555,%142 = OpExtInst %void %1 DebugTypeVector %19 %uint_4,,,,,,,,0,,,
556,%_ptr_Function_v4float = OpTypePointer Function %v4float,,,,,,,,0,,,
557,%144 = OpExtInst %void %1 DebugTypePointer %142 %uint_7 %uint_0,,,,,,,,0,,,
558,%145 = OpTypeFunction %void %_ptr_Function_v4float %_ptr_Function_v2float %_ptr_Function_v2float %_ptr_Function_v2float %_ptr_Function_v2float,,,,,,,,0,,,
559,%146 = OpExtInst %void %1 DebugTypeFunction %uint_3 %void %142 %100 %100 %100 %100,,,,,,,,0,,,
560,%uint_124 = OpConstant %uint 124,,,,,,,,0,,,
561,%155 = OpExtInst %void %1 DebugFunction %154 %146 %33 %uint_124 %uint_0 %35 %154 %uint_3 %uint_124,,,,,,,,0,,,
562,%157 = OpExtInst %void %1 DebugLocalVariable %158 %142 %33 %uint_124 %uint_0 %155 %uint_4 %uint_1,,,,,,,,0,,,
563,%162 = OpExtInst %void %1 DebugLocalVariable %163 %100 %33 %uint_124 %uint_0 %155 %uint_4 %uint_2,,,,,,,,0,,,
